what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1533693933827
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1533693933827
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1533693933827
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1533693933828
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1533693933828
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1533693933828
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1533693933828
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1533693933828
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1533693933829
os,sysinfo,,,"linux",1533693933830
arch,sysinfo,,,"x86_64",1533693933830
ws,sysinfo,,,"gtk",1533693933830
locale,sysinfo,,,"zh_CN",1533693933830
processors,sysinfo,,,"8",1533693933830
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1533693933830
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1533693933830
java.specification.name,sysinfo,,,"Java Platform API Specification",1533693933830
java.specification.vendor,sysinfo,,,"Oracle Corporation",1533693933830
java.specification.version,sysinfo,,,"1.7",1533693933830
java.vendor,sysinfo,,,"Oracle Corporation",1533693933830
java.version,sysinfo,,,"1.7.0_80",1533693933830
java.vm.info,sysinfo,,,"mixed mode",1533693933830
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1533693933830
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1533693933830
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1533693933830
java.vm.specification.version,sysinfo,,,"1.7",1533693933830
java.vm.vendor,sysinfo,,,"Oracle Corporation",1533693933830
java.vm.version,sysinfo,,,"24.80-b11",1533693933830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533693941874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1533693944185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1533693944185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533693944223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533693948766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1533693951048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1533693951048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533693951084
