what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1531844447456
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1531844447457
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1531844447475
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1531844447476
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1531844447478
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1531844447479
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1531844447504
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1531844447506
os,sysinfo,,,"linux",1531844447512
arch,sysinfo,,,"x86_64",1531844447512
ws,sysinfo,,,"gtk",1531844447512
locale,sysinfo,,,"zh_CN",1531844447512
processors,sysinfo,,,"8",1531844447512
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1531844447512
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1531844447512
java.specification.name,sysinfo,,,"Java Platform API Specification",1531844447512
java.specification.vendor,sysinfo,,,"Oracle Corporation",1531844447512
java.specification.version,sysinfo,,,"1.7",1531844447512
java.vendor,sysinfo,,,"Oracle Corporation",1531844447512
java.version,sysinfo,,,"1.7.0_80",1531844447512
java.vm.info,sysinfo,,,"mixed mode",1531844447512
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1531844447512
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1531844447512
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1531844447512
java.vm.specification.version,sysinfo,,,"1.7",1531844447512
java.vm.vendor,sysinfo,,,"Oracle Corporation",1531844447512
java.vm.version,sysinfo,,,"24.80-b11",1531844447512
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1531844447950
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1531844448543
error,log,,,"Unhandled event loop exception",1531844448817
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1531844449554
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1531844460149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531844464789
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1531844480869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531844480872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531844485497
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1531844506396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531844506398
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1531844509009
closed,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1531844509017
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1531844510764
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1531844510769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531844514677
error,log,,,"Unable to create editor ID org.eclipse.jdt.ui.ClassFileEditor: The Class File Viewer cannot handle the given input ('org.eclipse.ui.ide.FileStoreEditorInput').",1531844525365
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1531844525436
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1531844525450
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1531844525457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531844525461
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1531844527524
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1531844527527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531844533866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1531844552170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531844552215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531844563958
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1531844578860
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1531844578916
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1531844578925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531844578931
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1531844584358
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1531844587289
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1531844592789
activated,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1531844592865
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1531844593920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531844598185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1531844600083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531844600130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531844618754
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1531844620446
activated,perspective,,,"My_Java",1531844620482
