what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1535545407787
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1535545407788
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1535545407806
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1535545407808
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1535545407809
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1535545407810
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1535545407824
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1535545407825
os,sysinfo,,,"linux",1535545407832
arch,sysinfo,,,"x86_64",1535545407832
ws,sysinfo,,,"gtk",1535545407832
locale,sysinfo,,,"zh_CN",1535545407832
processors,sysinfo,,,"8",1535545407832
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1535545407832
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1535545407832
java.specification.name,sysinfo,,,"Java Platform API Specification",1535545407832
java.specification.vendor,sysinfo,,,"Oracle Corporation",1535545407832
java.specification.version,sysinfo,,,"1.7",1535545407832
java.vendor,sysinfo,,,"Oracle Corporation",1535545407832
java.version,sysinfo,,,"1.7.0_80",1535545407832
java.vm.info,sysinfo,,,"mixed mode",1535545407832
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1535545407832
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1535545407832
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1535545407832
java.vm.specification.version,sysinfo,,,"1.7",1535545407832
java.vm.vendor,sysinfo,,,"Oracle Corporation",1535545407832
java.vm.version,sysinfo,,,"24.80-b11",1535545407832
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1535545408153
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1535545410159
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1535545410171
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1535545410225
