what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Oracle Corporation",1534083438079
java.specification.version,sysinfo,,,"1.7",1534083438079
java.vendor,sysinfo,,,"Oracle Corporation",1534083438079
java.version,sysinfo,,,"1.7.0_80",1534083438079
java.vm.info,sysinfo,,,"mixed mode",1534083438079
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1534083438079
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1534083438079
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1534083438079
java.vm.specification.version,sysinfo,,,"1.7",1534083438079
java.vm.vendor,sysinfo,,,"Oracle Corporation",1534083438079
java.vm.version,sysinfo,,,"24.80-b11",1534083438079
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1534083438114
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1534083438819
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1534083439316
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1534083440012
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1534083440013
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1534083440044
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1534083440044
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1534083440045
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1534083440138
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1534083440438
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1534083440515
