what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Oracle Corporation",1535293684243
java.vm.version,sysinfo,,,"24.80-b11",1535293684243
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1535293685338
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1535293689582
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1535293689591
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1535293689656
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1535293689658
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1535293689704
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1535293689706
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1535293689807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535293694976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535293696236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535293696740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535293705296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535293710437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535293714082
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.openProject",1535293714161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535293739126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535293927002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535293932858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535293948693
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1535293948768
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1535293948810
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1535293999813
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1535294000395
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1535294000401
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1535294000406
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1535294000410
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1535294000427
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1535294000428
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1535294000430
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1535294000437
